stem,cls,split,phash,w,h,n_boxes
benign (126),benign,train,1100001010111001001111011100111001101010100100010111000100001100,771,570,1
benign (127),benign,train,1110111010101000101100011101011110000110100001101001001110110011,558,476,1
benign (128),benign,train,1010000010100000111110010101111111001110100011001100001011000010,549,475,1
benign (129),benign,val,1011001110011000010011000100011111100111101110000011100010111010,775,587,1
benign (13),benign,train,1000011111110000110010001000101101001111011101010011110010010010,678,571,1
benign (130),benign,val,1010000010011110010111111100000011100001101000010100101010011101,558,474,1
benign (131),benign,val,1001000110111101111111000100101001100110110001100110000100100001,587,435,1
benign (132),benign,train,1101000110100100101011001101011110010011100100111001001110000011,552,483,1
benign (133),benign,train,1001010011110110111010000100100111000001011001110010111010000110,369,342,1
benign (134),benign,train,1100011010001101101000010110100100111011100110101100011010110010,378,345,1
benign (135),benign,test,1110011110111100011110000100101110000111100001111000011011000110,776,582,1
benign (136),benign,train,1110010110011100011000101000001111010011001111001011110011000011,886,581,1
benign (137),benign,train,1010010111011111011110000011000000000010000111111100110111000101,777,578,1
benign (138),benign,train,1000100010000100111101000111011110101010001010110001110110001001,766,600,1
benign (139),benign,test,1101011011100000001010011001110111110010100100101001101011101001,563,468,1
benign (14),benign,train,1100110100110001000100100001011001001101110111001111101011100011,699,531,1
benign (140),benign,train,1101010111110100110101011001010101111100000001010001011101100100,452,591,1
benign (141),benign,test,1001100110011110101001101100100110010000110100111100000110111001,567,471,1
benign (142),benign,train,1110010010100011000110110101110010001100111001011100001110011001,785,582,1
benign (143),benign,test,1000000111110100001110100111000000111100100011001000011111100101,554,467,1
benign (144),benign,train,1001000011101100111011110011011100000011110000001100100011010010,770,580,1
benign (145),benign,val,1100000110101101001111100101000000000100100010111011101111101100,779,574,1
benign (146),benign,test,1110000110001011101110100011111001001010011000110000110101100101,449,594,1
benign (147),benign,train,1001111111100100001010000100000001101010111111101011011110011100,564,463,1
benign (148),benign,train,1110111010110001001100011000111011001110110011100011001001110001,567,463,1
benign (149),benign,train,1000011011111000111000011000011100011110101100100011100011010100,557,468,1
benign (15),benign,train,1000111011110001011101100000111000000011110001001111000110111001,701,526,1
benign (150),benign,test,1001110011110101010100000100001000110011100011001110110111011010,671,570,1
benign (151),benign,train,1000010111001000011110100011001010011100111001011010010111001001,560,469,1
benign (152),benign,train,1001011111101100101100101001010011001101010110110001001010101001,555,471,1
benign (153),benign,train,1100110010100111001001001101101001011011000110100100101011101100,772,574,1
benign (154),benign,train,1000010111111111011110101011000100011001100000011000011000100110,556,464,1
benign (155),benign,train,1100000010111001111001110100111000111011111000011000110010000000,783,583,1
benign (156),benign,test,1101010011100110001011111001100100101001011101101100011010100000,887,581,1
benign (157),benign,train,1101011011100000001010011001110111110010100100101001101011101001,567,465,1
benign (158),benign,train,1100100110101111001101101001110110000111110000011010000010110010,556,464,1
benign (159),benign,train,1010100111111111001101101010000001000101100010100110101010011010,696,574,1
benign (16),benign,train,1000010111001000011110100011001010011010111001011010010111001001,558,462,1
benign (160),benign,train,1111100110001100000011100110011111100011011110100001001010111100,624,585,1
benign (161),benign,train,1000010110000001111110111011010111010000111101001011000010101000,568,463,1
benign (162),benign,val,1100100110000110001101100101101000111001100111011000111011100010,549,470,1
benign (163),benign,test,1001101111101110011101000101000010001001011010000111100110011110,779,576,2
benign (164),benign,train,1001011110101101111100101111000011001000110010001001100010111001,560,470,1
benign (165),benign,val,1010000010111011100110110101001001100101110000001100100011001011,558,464,1
benign (166),benign,train,1001100010000101100010011111101110110010111100001000110111001000,555,471,1
benign (167),benign,train,1110000110011010000111101110100100001001111101111010011010001000,566,463,1
benign (168),benign,train,1000010011110011010010101000110000110010111100111000100110001101,557,471,1
benign (169),benign,train,1001110110011111011001100111000011110010100000111100100110000101,561,469,1
benign (17),benign,train,1001010111100000011010111001111101010010000101100000110011101101,558,463,1
benign (170),benign,test,1010011011101100110100011001001011000000111011001110101110010100,564,468,1
benign (171),benign,train,1110100010001011001100000111010011000111100100111110101110001001,566,463,1
benign (172),benign,test,1000110111111100011100001100001001000011110000111001100110111100,619,589,1
benign (173),benign,train,1001000010101111011011111110011011010010100100001001000010110000,726,573,2
benign (174),benign,val,1100000110110011101111001100110011000001011100010011000001111100,556,490,1
benign (175),benign,train,1010001011111001010011001000011001110011001110001011100011000110,765,573,1
benign (176),benign,train,1001010010101011000110111100110010001100110000001100011110010111,715,487,1
benign (177),benign,train,1101100011011111101001111110001011100000100000001000111010001101,562,470,1
benign (178),benign,val,1000100011100110100111010101000100110010100011001101100011110100,772,576,1
benign (179),benign,train,1111101111011001011001000100010001011111100110110010001100100111,422,468,1
benign (18),benign,train,1001011111101100101100101001010011001101010110110001001010101001,564,469,1
benign (180),benign,train,1100011110111001001110101100001011110100101011001000101110010010,763,600,1
benign (181),benign,train,1000100110100110110110011101101100100110010001010111001010011000,733,455,2
benign (182),benign,train,1101001010101101001011011101010010010000000101101100011011111100,555,463,1
benign (183),benign,train,1111000011010001010011110000111000010111101100011011000111000011,916,683,1
benign (184),benign,train,1001010111101000111010101001011010010111000011000111100001111000,349,487,1
benign (185),benign,train,1110101010000001000001110111101100100111101101101111100010101000,752,592,1
benign (186),benign,train,1111101010100111000110000001101101100110111000001001111011100110,741,574,1
benign (187),benign,train,1001100011101001011101001001011001100011100010001011101010110001,730,574,1
benign (188),benign,val,1000000001011010100000010011111010010101001010101101011101101001,655,600,1
benign (189),benign,train,1001110010011001001101111110010011100100100011011000010001110011,544,465,1
benign (19),benign,train,1000111011110101010100000100001000110011100011001110110111011001,663,572,1
benign (190),benign,test,1101101010101100110001110011001100111100110000001011100011100011,734,470,1
benign (191),benign,train,1110100011001011101000111111001010000000100011000011011111100011,549,463,1
benign (192),benign,train,1001010011001101011100010001001000011010001011011110110011001101,557,474,1
benign (193),benign,train,1110000110111111000111001010111000011110100100111010001110000000,754,580,1
benign (194),benign,train,1100110011101001000010000011010000110010111100110110101110101011,711,492,1
benign (195),benign,train,1000000000000001110100010001111101101110110101110010100111001010,729,611,3
benign (196),benign,val,1000110010100100011000100010011110111111110110001010010010011001,766,580,1
benign (197),benign,val,1111110111100010100000101001100110101001001111010110110111010100,547,465,1
benign (198),benign,train,1001010111100110100110101001000110110001011001100110101110011000,759,571,1
benign (199),benign,test,1111100111111110000010001000001010010111111000001111100010011110,556,473,1
benign (2),benign,test,1100000110111100011000100111101100111001100001101100001010111000,557,473,1
benign (20),benign,test,1001100010110100111001011100101101001010000110100111011001100100,319,473,1
benign (200),benign,train,1011110111100101110000101000101011001011110111001001100010110100,554,473,1
benign (201),benign,test,1000111011011000001100000110001001111011110011100011011110001010,556,474,1
benign (202),benign,train,1111011011010110100010001011000100101001010010011110101011111010,552,469,1
benign (203),benign,val,1001110011011010011000110011010111011010000101101010010011001010,569,471,1
benign (204),benign,val,1000010010110111011110111100101010000000101011001100010010010110,560,476,1
benign (205),benign,train,1000011010111001011011000101100011101001000110111101000011100100,557,477,1
benign (206),benign,test,1001010010100000111010110101101110001100101001001101110011010100,569,485,1
benign (207),benign,train,1111110110110000010010100111101111000001110100111100011110001001,562,481,1
benign (208),benign,train,1100010110110011001110110100100010000110111001101110000110110001,562,479,1
benign (209),benign,train,1100011011101100001110110001101101001001100101011001100011010100,558,477,1
benign (21),benign,train,1000010111111110011110001011000110001001100001110000011001101100,558,451,1
benign (210),benign,train,1100100010100011001111010101110001000010111000011011001010010111,563,471,1
benign (211),benign,test,1110100110001000001111100001001010001010110010101101110010111111,557,465,1
benign (212),benign,val,1001010010100101011010110101101001000010111110011001100010010110,558,469,1
benign (213),benign,train,1001000010000100010010110101101101111100111100101100011010100100,573,486,1
benign (214),benign,train,1100110111011010001100100001111110110110110000001001000011111100,602,396,1
benign (215),benign,train,1100110110110110001000111011101011010001001111001010011010000110,600,396,1
benign (216),benign,train,1100100110010101001111101100010110000101101101001010010111010001,646,386,1
benign (217),benign,train,1100001110101011111011101001011010011000100101101100000011010010,603,396,1
benign (218),benign,train,1111100110100000000111100001101011001011100101101110110101101001,602,396,1
benign (219),benign,train,1110010011001001100110100011011000100001111110001111000011100101,608,396,1
benign (22),benign,val,1110110010110011110011100010100100110001110001001000110011110011,562,463,1
benign (220),benign,test,1001100111100100100001001110001101111010100110111010010110100100,609,396,1
benign (221),benign,val,1001011000111001101010111100001011100000111101001011111110000000,610,394,1
benign (222),benign,val,1001010011111101010010111001011010110001110000011000101010000101,605,392,1
benign (223),benign,val,1001110011011100011000101010000011100001100101111110011110110000,562,465,1
benign (224),benign,train,1101100110110000000101100100101111011001111101010100011010100101,568,469,1
benign (225),benign,test,1000100011111000011101010110011111000010100001001110100011001001,558,473,1
benign (226),benign,train,1101000011101111000011000110000111111010100101000100110111100000,555,469,1
benign (227),benign,test,1000001111101010010101001011110110100101111000000101010110110000,567,468,1
benign (228),benign,train,1101000110010110001011100110100110100111011010100101100011001010,563,469,1
benign (229),benign,train,1001100110010000110110001010101001100110011001011111010110011010,564,470,1
benign (23),benign,train,1010110111100110000110010010111011100110110010111001100110100000,779,583,1
benign (230),benign,train,1100010110011100101111101111001001101100111010001100001010000001,566,470,1
benign (231),benign,train,1001101011100010001011011100110100110000111000001101111110001010,561,472,1
benign (232),benign,val,1100100011010000001101111000111110011000101011001010010010100111,562,469,1
benign (233),benign,train,1110011010010110111110110110101100100101000010001011100010011100,557,471,1
benign (234),benign,test,1100010010010101101110011100111011000010111000001010100010100111,562,469,1
benign (235),benign,train,1100000111101000111111110111111000111100100010001000010011000000,560,468,1
benign (236),benign,train,1010000011100100001100111100001111001110100111100001010010011100,566,469,1
benign (237),benign,train,1111000110100011100011101101101010011110100011010000010111100001,558,473,1
benign (238),benign,train,1010001010111010110011011100010110100001001110000010111010100011,556,469,1
benign (239),benign,train,1110010010010110111110000011000010011001110110010100101011100110,560,473,1
benign (24),benign,train,1100100010110100010110111110101011100100000110011001100001100110,556,467,1
benign (240),benign,train,1011001110111111110001001100010010100001001110001101001110110001,556,473,1
benign (241),benign,train,1111011010111010011010001110100010001001100000111000001111011111,562,471,1
benign (242),benign,train,1001110011110000000010110010010111000101110011110010101110110010,556,474,1
benign (243),benign,train,1110011011101101000100001111100010111110100001111001000011010100,561,473,1
benign (244),benign,val,1100110011010000100100000001101110111011101100101101011110000110,561,475,1
benign (245),benign,train,1110111011000010100110010001100010111001111101111000000011011110,560,465,1
benign (246),benign,train,1001011000111101101011011100001111000010011101001011110110000000,526,331,1
benign (247),benign,train,1010100011100100001100101100001111001111100111100001010010011100,469,396,1
benign (248),benign,train,1111100111011100000010001000101010010111111000001111101010011110,472,385,1
benign (249),benign,val,1000010010110011011110111100101010001000101011001100010010010110,465,395,1
benign (25),benign,train,1100110010100110001001001101101001011011000110100101101011100110,770,583,2
benign (250),benign,train,1000001111101010010101001010111110100101101010000101010110110000,469,394,1
benign (251),benign,train,1100110011010000100100010011101110101011101100101101010110000110,467,387,1
benign (252),benign,train,1100010110001100101111101111001001101100111010001100001010000011,473,398,1
benign (253),benign,train,1001000010000100010010100101101001111100111101111100011010100100,463,383,1
benign (254),benign,test,1110100110001000001111100001001110001010110010101101110010110111,473,389,1
benign (255),benign,train,1011011110110101110001001100110110100001001110001101001110110001,473,389,1
benign (256),benign,test,1111110110110000010010101110101111000001110101111100010110001001,469,395,1
benign (257),benign,train,1001110011011100011000001010000011100001100101101110011111110001,467,392,1
benign (258),benign,test,1110010010010110111110000011000010011001110110110100001011100110,462,389,1
benign (259),benign,train,1001100110010000110110001000101001100111011101011111010110011000,465,390,1
benign (26),benign,train,1111100110110011101011111100110011000000001111000001011001000111,554,471,1
benign (260),benign,train,1100110111011010001100100001111110110100110000011010000011111100,498,331,1
benign (261),benign,train,1100010010010101101110011100111011000000111000001010110010100111,469,386,1
benign (262),benign,val,1000011010111001011011000101000011110001100110111101000010101100,471,401,1
benign (263),benign,train,1101000011101111000011000110000111111010100101000100110111100000,465,390,1
benign (264),benign,test,1111000110100011100011101101101010011100000011011000010111100101,462,391,1
benign (265),benign,train,1100100110010101001101101100010110000101101101011010010111010001,544,328,1
benign (266),benign,test,1111010010111010011010001110100010001001100000111000001111011111,462,389,1
benign (267),benign,val,1001010011111101010010111001001010110000110000011000101010011101,500,327,1
benign (268),benign,train,1100001110101011111011101001011010011000100101101100000011010010,506,330,1
benign (269),benign,train,1000010010100000011011011100010011111100110100011001001110100011,465,390,1
benign (27),benign,val,1000110010100100011110100001100110011011100100110011110011000110,774,576,1
benign (270),benign,train,1100110110110110001000111011101011010001001111001010011010000110,500,328,1
benign (271),benign,train,1001100111100100100001001110001101111010100110011010010110011100,510,324,1
benign (272),benign,train,1110010111001001100110100011011000100001011110010111100011100101,498,326,1
benign (273),benign,test,1001110011011010011000010011010111011010000101101010010111001010,560,469,1
benign (274),benign,test,1011110111100101010000101000101011001011110111001011100010110100,556,471,1
benign (275),benign,train,1100011011101100001110110001101101001001100110011001100011100100,556,463,1
benign (276),benign,train,1100100011010000001101111000111110011000101011001010110010100101,550,474,1
benign (277),benign,train,1011001110111101110001001100010110100001001110001101001110110001,556,469,1
benign (278),benign,train,1101000011101111001011000110000110111010100101000100110111100000,561,464,1
benign (279),benign,train,1111010010111010011010001110100010001001100000111000001111011111,551,467,1
benign (28),benign,train,1111011011001100000110000001100001101101111000101111011010101101,841,696,1
benign (280),benign,train,1001100110010000110111001000101001100111011101011011010110011000,556,471,1
benign (281),benign,val,1100110111011010001100100001111110110100110000011010000011111100,605,392,1
benign (282),benign,train,1000010010110011011110111100101010101000001011001100010010010110,560,465,1
benign (283),benign,val,1101001110010000001011010110111100010100101100001110001111001111,621,508,1
benign (284),benign,val,1100111011101100101110110001011100010110000101000010011010101110,622,497,1
benign (285),benign,train,1100111011101000101110110001011100010110000101000010011010101111,625,494,1
benign (286),benign,train,1101011011111110101110111000000011000000110000010100111100111100,620,490,1
benign (287),benign,train,1100100011010000011101111000111110011000101011001010010010000111,466,390,1
benign (288),benign,train,1001110011110000000000110010010111000101110011110010111110110010,463,390,1
benign (289),benign,train,1001110011011010011000110011010111011010000101101010010011001010,468,393,1
benign (29),benign,train,1100100011110011101111111001100011000000110101000001111011000000,561,462,1
benign (290),benign,train,1011110111100101010000101000101011001011110111001011100010110100,465,389,1
benign (291),benign,train,1100010110110011001110100100100010000100111001101110001110110011,462,404,1
benign (292),benign,test,1000100011111000011101010110011111010010100001001110100011000001,460,391,1
benign (293),benign,train,1000100011111000011101010110011111000010100001001110100011000101,473,389,1
benign (294),benign,test,1100000111101000111111110111111000111100100010001000010011000000,469,394,1
benign (295),benign,train,1001101011100010001011011100110100110000110000001101111111001010,472,387,1
benign (296),benign,train,1111100110100000000111100001101011001011100101101110110101101001,503,328,1
benign (297),benign,val,1100011011101100001110110001101101001001100101011001100011100100,467,390,1
benign (298),benign,train,1100100010100011000111110101110001000010111000011011001010010111,466,391,1
benign (299),benign,train,1110011010010110111110110110101100100101000010001011100010011100,463,392,1
benign (3),benign,train,1001110011101001001100110001011001001101010010011110100111010010,558,471,1
benign (30),benign,train,1010000010100000111110010101111111001110100011001100001011000010,557,462,1
benign (300),benign,train,1010001010111010110011011100110110100001001110000010011010110001,463,387,1
benign (301),benign,train,1111011011011110100010001011000100100001010010011110101011111010,463,383,1
benign (302),benign,train,1000111011111100001000000110001001011011110011100011011110001010,466,390,1
benign (303),benign,train,1001010010100010011010110101101110011100101001000101110010011100,463,398,1
benign (304),benign,train,1101100110100000000101100100101011011001111101010000011110101111,467,387,1
benign (305),benign,test,1110110010000010100110010011100010111011111101111000000011011100,466,389,1
benign (306),benign,train,1101000110010110001011110110100110100110011010100101100011001010,471,386,1
benign (307),benign,train,1010010110111101010110101010001011100010110000111000010110001110,775,587,1
benign (308),benign,val,1100101110111011011101001011100010100100110010010001011110001100,552,468,1
benign (309),benign,train,1111111011101111110001011110000010000010100000111001001111000111,769,487,1
benign (31),benign,val,1110111110110000010100000001011100010111110011111001111111000001,557,467,1
benign (310),benign,test,1110110011111100100010011100100111001100100001101001011010011010,544,468,1
benign (311),benign,val,1110110111110101111101101010000010000010100010101100111010001110,549,496,1
benign (312),benign,train,1011011010011011110010111100110111001100101100100010001100100100,552,490,1
benign (313),benign,train,1100110110000101001100100011000011001111111001111100100111011000,555,468,1
benign (314),benign,train,1011000011100101100011111000101011010010010000001110000111110110,554,493,1
benign (315),benign,train,1111101110001000011001001001011110011110101001011000101111011001,551,470,2
benign (316),benign,train,1100010111001101001111011001000011101000011110100001111010000011,550,469,1
benign (317),benign,train,1101110011110001101000011000101100011010110101101100011011000110,551,491,1
benign (318),benign,train,1101010011111000000010111100011100110101110001001110001010100011,554,465,1
benign (319),benign,train,1101010110111100011000100111100100111001110001101100001010111000,560,467,1
benign (32),benign,train,1001001010100011111011100100111001000011001101010011010000111100,656,611,1
benign (320),benign,train,1001110011101001001100110001011001100101010010011110100111010010,558,475,1
benign (321),benign,train,1100100010010111011101110111100000101001100011110100001010001010,546,467,1
benign (322),benign,train,1001010011100000011010011000111111010011100100011010110011001100,555,491,1
benign (323),benign,train,1001011110101101111011011001001010010010011010000110000101101101,560,468,1
benign (324),benign,train,1101111011111001001001010100011101100110001111101000110010100001,626,583,1
benign (325),benign,train,1110100110100111000101100101100001111100001011101010011011001010,613,583,1
benign (326),benign,train,1100001111111000101111001100011011000000101110011000111010000110,754,619,1
benign (327),benign,train,1111111110001111000111111110000111100001101011100000001111000001,689,578,1
benign (328),benign,train,1100000110100111000111001100100000101101101100110101001101100110,685,567,1
benign (329),benign,val,1010010111010010010111100011110101100010110001001010010010011110,665,576,1
benign (33),benign,train,1010000010011110000111101110000011100001111000010100101010011101,556,468,1
benign (330),benign,train,1000011111110000110010001000101101001111011011010011110010010010,669,567,1
benign (331),benign,test,1100110100110001000100100001011001001101110111001110101011110011,695,527,1
benign (332),benign,train,1000111011110001011101100000111000000011110001001111000110111001,703,531,1
benign (333),benign,val,1100100011100000101100101001011110001011100010001110011111101000,777,569,1
benign (334),benign,train,1000000011001000011111111000100010000111101000111110100011010100,589,426,1
benign (335),benign,train,1000001111100110100111100001010001011000110110011100001101111000,681,559,1
benign (336),benign,train,1010000111010100010111000000111010011000110100101110001110100111,783,585,1
benign (337),benign,train,1101110011001000101000110111011110011100000101110010010011101100,555,487,1
benign (338),benign,train,1101010010000100011011101111001011111011100010011000100100001101,611,382,1
benign (339),benign,train,1111001111100011000011101001110000100101011001011111000110100011,557,465,1
benign (34),benign,train,1000000110110000001110110110011111000110110001011100010100111000,558,471,1
benign (340),benign,train,1100110011110010000100111000010110001111100111001001110011001001,770,425,1
benign (341),benign,train,1000010010110110100100101100001101001001110110010010111110001100,683,562,1
benign (342),benign,train,1001000101101110001111001100110000100011010101010110000010110111,581,431,1
benign (343),benign,train,1011010110010110010010011110100100110000101101001100111110011001,564,467,1
benign (344),benign,train,1100111010111001100000010001000010111001111111111100110010000101,576,434,1
benign (345),benign,val,1111110011000001000000110110101010111000101100011101001111001111,566,466,1
benign (346),benign,test,1011100110001101010001101100011011110110111010011010100110000001,610,373,2
benign (347),benign,val,1001010110011000111010000110000001001110010011110101011111010110,605,683,1
benign (348),benign,train,1101010110010101111010100001101011101000101001001110001001101110,1028,565,1
benign (349),benign,train,1001000111010001111111000011111000111100001111000000110110000001,555,471,1
benign (35),benign,train,1101100011011111101001111110001011100000100000001001111010001100,556,476,1
benign (350),benign,test,1000100111100101000110101001101011100101101000010111000110010110,786,580,1
benign (351),benign,train,1110000010011100001111110110011001001000100110011001101110100100,585,429,1
benign (352),benign,train,1110000010101000101111111101110100010011000100100101100000011011,573,428,1
benign (353),benign,test,1101101111011010001000000010100100100111101101011011000111110101,680,583,1
benign (354),benign,train,1011110011010000110000110100111110011001101110111011001001100000,606,605,1
benign (355),benign,train,1001010110110100011000101100101111000011010001001100011110111001,675,562,1
benign (356),benign,val,1001110110111101111101001110011011001010110010101000001110000000,556,468,1
benign (357),benign,train,1110110010110001010001011100111110011011001100111001000011001100,581,429,1
benign (358),benign,test,1110000010000100100111011110100001101001011000111110001011010110,555,467,1
benign (359),benign,train,1110001010101100000111010001010111010010011010100010101011010111,567,462,1
benign (36),benign,train,1000100011100001100111010000111001100000101010011001111001011110,526,474,1
benign (360),benign,val,1100110111100101101100110001001001010010010101100111011000010111,683,574,1
benign (361),benign,train,1110110110010100000110111100101100110100001101111100100110011100,558,470,1
benign (362),benign,train,1100001111011001001111010000011011000010100100011101100111000111,557,464,1
benign (363),benign,train,1101010010101101001010110100100101100101011101101001011010001001,586,433,1
benign (364),benign,train,1000010010000000111100100111110111001101110011100100101010110000,557,465,1
benign (365),benign,val,1010011111011010010111000000011110110011101100000111100010001101,582,431,1
benign (366),benign,train,1110010110100101010111000101100110001011111000100011000111110100,562,463,1
benign (367),benign,train,1101111111100101000010001010100011110111110001110010001011001011,560,462,1
benign (368),benign,val,1001001010000100110001010100111101100011110100110010110100111100,689,575,1
benign (369),benign,val,1111000011010011101101101010111100101101001011000100100001110000,772,581,1
benign (37),benign,train,1110111010101010101100011001011110000110100001101001001110110011,557,468,1
benign (370),benign,test,1110100011100101000101111001111010001010110001001110001010110001,549,458,1
benign (371),benign,test,1110110110100100100100111001101100010110000111101110110000110101,756,589,1
benign (372),benign,train,1011010010110011010000110100110110001100101111000011101000110011,544,469,1
benign (373),benign,train,1111001111110000100011000100111000001110001110111011100110100101,555,457,1
benign (374),benign,train,1011100011010000011010110011011110010110001010111001000110011001,544,468,1
benign (375),benign,train,1000110110110110010110101100110011101111000110000010000110100110,775,571,1
benign (376),benign,train,1110000111100011100111101001110000111100010010101100101011000001,546,467,1
benign (377),benign,test,1111100110000101001001101110101000011100110110001101001110011011,752,578,1
benign (378),benign,test,1111100111111001000101000101010100011111000110001100100011101101,548,464,1
benign (379),benign,train,1000111110011111011101000111101010010010101100011100100010001001,1010,583,1
benign (38),benign,val,1101000110100101101011001100011110010011100100111001001110000011,550,484,1
benign (380),benign,train,1111110110110011010011100100100011101100110000000011001111011011,750,572,1
benign (381),benign,train,1011011011100000000010011100111111001110110111001010000110110010,747,576,1
benign (382),benign,train,1001010110110110111000101100001011001000100110011001010110010111,730,475,1
benign (383),benign,train,1010011010001010110110010010001111110010100110011100101011010100,552,493,1
benign (384),benign,test,1000110110100000111000110101101111011000100011001011100001111010,760,425,1
benign (385),benign,train,1110000011100000100111111001111110001001110010001100001001100110,551,458,1
benign (386),benign,train,1100110110110111001000100101110001011001110000011011100110100011,768,578,1
benign (387),benign,train,1100110111100011111100001000111010011110001101000011011010100100,549,486,1
benign (388),benign,train,1101100110100110001011010101100011010110110001111011000010011001,763,572,1
benign (389),benign,test,1011101110100101010001000111101111101001100100011100011010110100,927,567,1
benign (39),benign,train,1100001010111000111011110010111000111000010100001000001111100110,578,433,1
benign (390),benign,train,1000111011111001010000010001001111001111101101000110110110001000,779,583,1
benign (391),benign,train,1010110010011000010101111000001100100010010011011011100111111010,687,578,1
benign (392),benign,val,1011010011100001110010110100001000100111101011101011000011110010,729,477,1
benign (393),benign,val,1100011011111011100110001000010001101011111000110110010101000010,685,583,1
benign (394),benign,test,1110110011010011010010110110010001110100001101100011011101010100,558,468,1
benign (395),benign,train,1100111011101001001000010001011110010001110110100101111000010111,615,576,1
benign (396),benign,train,1011000110110101111111101001111111001100011010000100000010000001,420,474,1
benign (397),benign,val,1011110011011100100001111011001111110000101100101000100010101100,554,470,1
benign (398),benign,val,1010111010111010011110111011010110000101110010011100000101010000,563,469,1
benign (399),benign,test,1001011011100001101100001001011011011010011011010110100110010001,555,468,1
benign (4),benign,train,1100100011010111011101100111100000101001100011110100001010001010,555,465,2
benign (40),benign,train,1001010011000011110101111100110001101000101100010011001110010100,706,526,1
benign (400),benign,val,1000011110101000110100001111000101011001110011101100011110001001,779,580,1
benign (401),benign,train,1111000110000110000001111110110010011001110011001010110010110011,557,469,1
benign (402),benign,train,1111111111101001001111000010010100100001001100111001011101011011,561,469,1
benign (403),benign,val,1100100110110110001111101100101111001100000011000011110010001001,549,467,1
benign (404),benign,train,1001110011101000101100010010000111001010100111010101111011001010,772,578,1
benign (405),benign,train,1010000110000100011111101001001111000001111000110111001011011000,566,465,1
benign (406),benign,train,1101110011100001000101111001111011011000010010010110100111011000,563,463,1
benign (407),benign,train,1110010110011101100100000011101010100011111000001001110010101111,560,467,1
benign (408),benign,val,1111110010110100110100010010001110000111110011101000110110100110,554,465,1
benign (409),benign,train,1000000010101101100110111101001001100000000110111000110010100111,558,466,1
benign (41),benign,train,1101000010011000100011110011000000111100100011111101100111110000,550,484,1
benign (410),benign,test,1001001111001000100111001010010011100111001101110010101000011011,558,468,1
benign (411),benign,train,1100111011101001001000110001010110010001110110000101111010010111,602,587,1
benign (412),benign,train,1000011110111000110100001111000101011001110011101100001110001001,779,576,1
benign (413),benign,train,1011000110110101111111101001111011001100011010000100001010000001,433,478,1
benign (414),benign,train,1000110110100111011101110101101001101000011010010111000001101000,812,703,1
benign (415),benign,train,1001100011101000101001010010001110011010100111010101101011100010,781,578,1
benign (416),benign,train,1100000010110011011111010000110010011100110000101101100011010010,878,574,1
benign (417),benign,train,1101011011010010001010110010100011001000100110011111001111110010,599,416,1
benign (418),benign,val,1000011010011101011110010011010011000001110010111001001010111000,607,414,1
benign (419),benign,train,1010010110110101010110101010001011100010111000111000010110001110,772,574,1
benign (42),benign,val,1001000110111100110111100100101101100110110001100110000100100001,581,437,1
